1,2021-01-02,Canada,Quebec,Phishing,Email,50 - 59,Victim,0,LOW RISK - Approve
2,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
3,2021-01-02,Canada,Quebec,Extortion,Email,30 - 39,Attempt,0,MEDIUM RISK - Escalate
4,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
5,2021-01-02,Canada,Quebec,Unknown,Text message,40 - 49,Attempt,0,LOW RISK - Approve
6,2021-01-02,Canada,Quebec,Vendor Fraud,Text message,10 - 19,Attempt,0,LOW RISK - Approve
7,2021-01-02,Canada,Alberta,Identity Fraud,Other/unknown,Not Available / non disponible,Victim,0,LOW RISK - Approve
8,2021-01-02,Canada,Alberta,Identity Fraud,Other/unknown,40 - 49,Victim,0,LOW RISK - Approve
9,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
10,2021-01-02,Canada,Yukon,Spear Phishing,Email,70 - 79,Victim,1600,MEDIUM RISK - Escalate
11,2021-01-02,United States,California,Foreign Money Offer,Mail,60 - 69,Attempt,0,LOW RISK - Approve
12,2021-01-02,Not Specified,Not Specified,Romance,Internet-social network,Not Available / non disponible,Attempt,0,MEDIUM RISK - Escalate
13,2021-01-02,Not Specified,Not Specified,Personal Info,Other/unknown,Not Available / non disponible,Victim,0,LOW RISK - Approve
14,2021-01-02,Canada,Newfoundland And Labrador,Phishing,Email,40 - 49,Attempt,0,LOW RISK - Approve
15,2021-01-02,Canada,Ontario,Phishing,Text message,30 - 39,Attempt,0,LOW RISK - Approve
16,2021-01-02,Not Specified,Not Specified,Merchandise,Internet-social network,Not Available / non disponible,Victim,53,LOW RISK - Approve
17,2021-01-02,United States,Virginia,Unknown,Direct call,20 - 29,Attempt,0,LOW RISK - Approve
18,2021-01-02,Canada,British Columbia,Merchandise,Internet,40 - 49,Victim,975,LOW RISK - Approve
19,2021-01-02,Not Specified,Not Specified,Other,Other/unknown,Not Available / non disponible,Attempt,0,LOW RISK - Approve
20,2021-01-02,Not Specified,Not Specified,Other,Other/unknown,Not Available / non disponible,Attempt,0,LOW RISK - Approve
21,2021-01-02,Canada,Quebec,Phishing,Text message,50 - 59,Attempt,0,LOW RISK - Approve
22,2021-01-02,Canada,Nova Scotia,Phishing,Text message,30 - 39,Attempt,0,LOW RISK - Approve
23,2021-01-02,Canada,Ontario,Unknown,Direct call,Not Available / non disponible,Attempt,0,LOW RISK - Approve
24,2021-01-02,Canada,Saskatchewan,Merchandise,Other/unknown,60 - 69,Victim,222.73,LOW RISK - Approve
25,2021-01-02,Not Specified,Not Specified,Spear Phishing,Email,Not Available / non disponible,Attempt,0,MEDIUM RISK - Escalate
26,2021-01-02,Canada,Ontario,Merchandise,Internet,20 - 29,Victim,50,LOW RISK - Approve
27,2021-01-02,Canada,British Columbia,Merchandise,Internet,30 - 39,Victim,95.4,LOW RISK - Approve
28,2021-01-02,Canada,Quebec,Identity Fraud,Other/unknown,40 - 49,Victim,0,LOW RISK - Approve
29,2021-01-02,Canada,Alberta,Identity Fraud,Other/unknown,50 - 59,Victim,0,LOW RISK - Approve
30,2021-01-02,Canada,Quebec,Merchandise,Internet,20 - 29,Victim,97.34,LOW RISK - Approve
31,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
32,2021-01-02,Canada,Quebec,Phishing,Email,60 - 69,Attempt,0,LOW RISK - Approve
33,2021-01-02,Canada,Quebec,Phishing,Text message,40 - 49,Victim,0,LOW RISK - Approve
34,2021-01-02,Not Specified,Not Specified,Other,Internet,Not Available / non disponible,Other,0,LOW RISK - Approve
35,2021-01-02,Canada,British Columbia,Vendor Fraud,Text message,10 - 19,Victim,300,LOW RISK - Approve
36,2021-01-02,Not Specified,Not Specified,Merchandise,Internet,Not Available / non disponible,Victim,269.17,LOW RISK - Approve
37,2021-01-02,Canada,Ontario,Phishing,Email,20 - 29,Victim,0,LOW RISK - Approve
38,2021-01-02,Canada,Ontario,Other,Direct call,70 - 79,Attempt,0,LOW RISK - Approve
39,2021-01-02,Canada,British Columbia,Identity Fraud,Other/unknown,70 - 79,Victim,0,LOW RISK - Approve
40,2021-01-02,Canada,Quebec,Identity Fraud,Other/unknown,40 - 49,Victim,0,LOW RISK - Approve
41,2021-01-02,Not Specified,Not Specified,Merchandise,Internet,Not Available / non disponible,Victim,1000,LOW RISK - Approve
42,2021-01-02,Canada,Saskatchewan,Merchandise,Other/unknown,Not Available / non disponible,Attempt,0,LOW RISK - Approve
43,2021-01-02,Canada,Ontario,Phishing,Text message,30 - 39,Attempt,0,LOW RISK - Approve
44,2021-01-02,Canada,Saskatchewan,Phishing,Email,30 - 39,Victim,0,LOW RISK - Approve
45,2021-01-02,Not Specified,Not Specified,Romance,Door to door/in person,Not Available / non disponible,Victim,400,LOW RISK - Approve
46,2021-01-02,Not Specified,Not Specified,Merchandise,Internet,Not Available / non disponible,Victim,1000,LOW RISK - Approve
47,2021-01-02,Not Specified,Not Specified,Merchandise,Internet-social network,Not Available / non disponible,Victim,75.48,LOW RISK - Approve
48,2021-01-02,Not Specified,Not Specified,Other,Other/unknown,Not Available / non disponible,Other,0,LOW RISK - Approve
49,2021-01-02,Spain,Not Specified,Counterfeit Merchandise,Internet,20 - 29,Victim,439.94,LOW RISK - Approve
50,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Victim,0,LOW RISK - Approve
51,2021-01-02,Not Specified,Not Specified,Romance,Internet-social network,Not Available / non disponible,Victim,0,MEDIUM RISK - Escalate
52,2021-01-02,Canada,Alberta,Merchandise,Internet,20 - 29,Victim,50,LOW RISK - Approve
53,2021-01-02,Canada,British Columbia,Vendor Fraud,Internet,30 - 39,Attempt,0,LOW RISK - Approve
54,2021-01-02,Canada,Ontario,Merchandise,Internet,30 - 39,Victim,640,LOW RISK - Approve
55,2021-01-02,Canada,Alberta,Merchandise,Internet,Not Available / non disponible,Victim,66.28,LOW RISK - Approve
56,2021-01-02,Canada,British Columbia,Job,Internet-social network,20 - 29,Victim,24466.34,MEDIUM RISK - Escalate
57,2021-01-02,Canada,Alberta,Identity Fraud,Other/unknown,20 - 29,Victim,0,LOW RISK - Approve
58,2021-01-02,Canada,Alberta,Extortion,Internet-social network,40 - 49,Victim,24000,HIGH RISK - Block
59,2021-01-02,Not Specified,Not Specified,Personal Info,Internet,Not Available / non disponible,Victim,0,LOW RISK - Approve
60,2021-01-02,Canada,Ontario,Prize,Direct call,60 - 69,Attempt,0,LOW RISK - Approve
61,2021-01-02,Not Specified,Not Specified,Job,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
62,2021-01-02,Canada,Ontario,Identity Fraud,Other/unknown,50 - 59,Victim,0,LOW RISK - Approve
63,2021-01-02,Canada,Manitoba,Phishing,Text message,60 - 69,Victim,0,LOW RISK - Approve
64,2021-01-02,Canada,Prince Edward Island,Merchandise,Internet,30 - 39,Victim,11000,LOW RISK - Approve
65,2021-01-02,Not Specified,Not Specified,Romance,Other/unknown,Not Available / non disponible,Victim,298,LOW RISK - Approve
66,2021-01-02,Not Specified,Not Specified,Identity Fraud,Other/unknown,Not Available / non disponible,Victim,0,LOW RISK - Approve
67,2021-01-02,Canada,Quebec,Spear Phishing,Email,30 - 39,Attempt,0,MEDIUM RISK - Escalate
68,2021-01-02,Canada,British Columbia,Identity Fraud,Other/unknown,50 - 59,Victim,0,LOW RISK - Approve
69,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
70,2021-01-02,Canada,Quebec,"Emergency (Jail, Accident, Hospital, Help)",Email,50 - 59,Victim,700,LOW RISK - Approve
71,2021-01-02,Not Specified,Not Specified,Extortion,Door to door/in person,Not Available / non disponible,Victim,180,LOW RISK - Approve
72,2021-01-02,Not Specified,Not Specified,Phishing,Email,Not Available / non disponible,Attempt,0,LOW RISK - Approve
73,2021-01-03,Canada,Ontario,Identity Fraud,Other/unknown,10 - 19,Victim,0,LOW RISK - Approve
74,2021-01-03,Canada,British Columbia,Phishing,Email,40 - 49,Victim,0,LOW RISK - Approve
75,2021-01-03,Not Specified,Not Specified,Extortion,Internet-social network,Not Available / non disponible,Attempt,0,MEDIUM RISK - Escalate
76,2021-01-03,Canada,Quebec,Phishing,Text message,30 - 39,Attempt,0,LOW RISK - Approve
77,2021-01-03,Not Specified,Not Specified,Extortion,Video Call,Not Available / non disponible,Attempt,0,LOW RISK - Approve
78,2021-01-03,Canada,Quebec,Identity Fraud,Other/unknown,40 - 49,Victim,0,LOW RISK - Approve
79,2021-01-03,Canada,Alberta,Extortion,Email,40 - 49,Victim,0,MEDIUM RISK - Escalate
80,2021-01-03,Canada,British Columbia,Phishing,Text message,20 - 29,Attempt,0,LOW RISK - Approve
81,2021-01-03,Not Specified,Not Specified,Phishing,Text message,30 - 39,Victim,0,LOW RISK - Approve
82,2021-01-03,Not Specified,Not Specified,Personal Info,Internet,Not Available / non disponible,Victim,0,LOW RISK - Approve
83,2021-01-03,Canada,Quebec,Phishing,Internet,50 - 59,Victim,0,LOW RISK - Approve
84,2021-01-03,Not Specified,Not Specified,Job,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
85,2021-01-03,Not Specified,Not Specified,Identity Fraud,Other/unknown,20 - 29,Victim,0,LOW RISK - Approve
86,2021-01-03,Canada,Ontario,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
87,2021-01-03,Not Specified,Not Specified,Extortion,Email,Not Available / non disponible,Victim,0,MEDIUM RISK - Escalate
88,2021-01-03,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0,LOW RISK - Approve
89,2021-01-03,Not Specified,Not Specified,Extortion,Email,Not Available / non disponible,Victim,0,MEDIUM RISK - Escalate
