1,2021-01-02,Canada,Quebec,Phishing,Email,50 - 59,Victim,0
2,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0
3,2021-01-02,Canada,Quebec,Extortion,Email,30 - 39,Attempt,0
4,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0
5,2021-01-02,Canada,Quebec,Unknown,Text message,40 - 49,Attempt,0
6,2021-01-02,Canada,Quebec,Vendor Fraud,Text message,10 - 19,Attempt,0
7,2021-01-02,Canada,Alberta,Identity Fraud,Other/unknown,Not Available / non disponible,Victim,0
8,2021-01-02,Canada,Alberta,Identity Fraud,Other/unknown,40 - 49,Victim,0
9,2021-01-02,Not Specified,Not Specified,Phishing,Text message,Not Available / non disponible,Attempt,0
10,2021-01-02,Canada,Yukon,Spear Phishing,Email,70 - 79,Victim,1600
11,2021-01-02,United States,California,Foreign Money Offer,Mail,60 - 69,Attempt,0
12,2021-01-02,Not Specified,Not Specified,Romance,Internet-social network,Not Available / non disponible,Attempt,0
13,2021-01-02,Not Specified,Not Specified,Personal Info,Other/unknown,Not Available / non disponible,Victim,0
14,2021-01-02,Canada,Newfoundland And Labrador,Phishing,Email,40 - 49,Attempt,0
15,2021-01-02,Canada,Ontario,Phishing,Text message,30 - 39,Attempt,0
16,2021-01-02,Not Specified,Not Specified,Merchandise,Internet-social network,Not Available / non disponible,Victim,53
17,2021-01-02,United States,Virginia,Unknown,Direct call,20 - 29,Attempt,0
18,2021-01-02,Canada,British Columbia,Merchandise,Internet,40 - 49,Victim,975
19,2021-01-02,Not Specified,Not Specified,Other,Other/unknown,Not Available / non disponible,Attempt,0
20,2021-01-02,Not Specified,Not Specified,Other,Other/unknown,Not Available / non disponible,Attempt,0
21,2021-01-02,Canada,Quebec,Phishing,Text message,50 - 59,Attempt,0
22,2021-01-02,Canada,Nova Scotia,Phishing,Text message,30 - 39,Attempt,0
23,2021-01-02,Canada,Ontario,Unknown,Direct call,Not Available / non disponible,Attempt,0
24,2021-01-02,Canada,Saskatchewan,Merchandise,Other/unknown,60 - 69,Victim,222.73
25,2021-01-02,Not Specified,Not Specified,Spear Phishing,Email,Not Available / non disponible,Attempt,0
26,2021-01-02,Canada,Ontario,Merchandise,Internet,20 - 29,Victim,50
